id,name,type
608,宠物粪便,宠物粪便
609,宠物粮食,湿垃圾
610,宠物毛,干垃圾
611,宠物毛发,干垃圾
612,宠物排泄物,宠物粪便
613,宠物尸体,湿垃圾
614,宠物屎垫,干垃圾
615,宠物饲料,湿垃圾
616,宠物饲料包装袋,干垃圾
617,宠物兔粪便,宠物粪便
618,抽水马桶,装修垃圾
619,抽屉,大件垃圾
620,抽完的烟蒂,干垃圾
621,抽完烟的烟蒂,干垃圾
622,抽油烟机,大件垃圾
623,抽纸,干垃圾
624,抽纸塑料袋,干垃圾
625,绸带,可回收垃圾
626,臭虫,湿垃圾
627,臭豆腐,湿垃圾
628,臭鸡蛋,湿垃圾
629,臭袜子,干垃圾
630,出前一丁面条,湿垃圾
631,除草剂,有害垃圾
632,除草剂罐,有害垃圾
633,除湿包,干垃圾
634,除湿袋,干垃圾
635,除湿盒,可回收垃圾
636,除湿机,可回收垃圾
637,除湿剂,干垃圾
638,除氧剂,干垃圾
639,除渍剂,有害垃圾
640,厨房垃圾,湿垃圾
641,厨房垃圾袋,干垃圾
642,厨房剩菜,湿垃圾
643,厨房手套,干垃圾
644,厨房用钢丝球,干垃圾
645,厨房用纸,干垃圾
646,厨房纸,干垃圾
647,厨房纸巾,干垃圾
648,厨余,湿垃圾
649,厨余果皮,湿垃圾
650,厨余垃圾,湿垃圾
651,厨余垃圾筒,可回收垃圾
652,橱柜,装修垃圾
653,储奶袋,干垃圾
654,储物柜,大件垃圾
655,传单,可回收垃圾
656,传真机,可回收垃圾
657,传真纸,可回收垃圾
658,串串纸杯,干垃圾
659,串串竹签,干垃圾
660,窗玻璃,可回收垃圾
661,窗户,装修垃圾
662,窗帘,可回收垃圾
663,窗纱,干垃圾
664,床,大件垃圾
665,床板,装修垃圾
666,床单,可回收垃圾
667,床垫,可回收垃圾
668,床垫子,大件垃圾
669,床架,大件垃圾
670,床上用品,可回收垃圾
671,床罩,可回收垃圾
672,创可贴,干垃圾
673,创口贴,干垃圾
674,吹风机,可回收垃圾
675,锤子,可回收垃圾
676,春梅,湿垃圾
677,纯棉靠垫,可回收垃圾
678,纯棉靠枕,可回收垃圾
679,纯牛奶纸盒,可回收垃圾
680,纯水滤芯,干垃圾
681,唇膏,干垃圾
682,唇釉,干垃圾
683,茨菇,湿垃圾
684,瓷酒瓶,干垃圾
685,瓷片,干垃圾
686,瓷器,干垃圾
687,瓷器杯子,干垃圾
688,瓷器瓶,干垃圾
689,瓷器碎片,干垃圾
690,瓷勺,干垃圾
691,瓷水杯,干垃圾
692,瓷碎片,干垃圾
693,瓷碗,干垃圾
694,瓷制品,干垃圾
695,瓷砖,装修垃圾
696,磁带,干垃圾
697,磁带播放器,可回收垃圾
698,磁碟片,干垃圾
699,磁卡,干垃圾
700,磁力片,干垃圾
701,磁力贴,可回收垃圾
702,磁盘盒,可回收垃圾
703,磁片盒,可回收垃圾
704,磁铁,可回收垃圾
705,葱,湿垃圾
706,葱蒜,湿垃圾
707,葱油饼,湿垃圾
708,粗盐,湿垃圾
709,醋包,干垃圾
710,醋袋,干垃圾
711,醋瓶,可回收垃圾
712,脆骨,湿垃圾
713,脆枣,湿垃圾
714,搓衣板,可回收垃圾
715,搓澡巾,干垃圾
716,达克宁药膏,有害垃圾
717,达克宁药膏皮,有害垃圾
718,打包袋,干垃圾
719,打包的剩饭菜,湿垃圾
720,打包盒,干垃圾
721,打包锡纸盒,干垃圾
722,打底裤,可回收垃圾
723,打火机,干垃圾
724,打火机油,干垃圾
725,打气筒,可回收垃圾
726,打扫灰尘,干垃圾
727,打湿的纸巾,干垃圾
728,打碎的碗,干垃圾
729,打印出来的纸,可回收垃圾
730,打印的照片,有害垃圾
731,打印的纸,可回收垃圾
732,打印过的彩色相片纸,有害垃圾
733,打印过的废纸,可回收垃圾
734,打印过的胶片,有害垃圾
735,打印过的纸,可回收垃圾
736,打印后的彩色照片,有害垃圾
737,打印机,可回收垃圾
738,打印机墨盒,有害垃圾
739,打印机色带,有害垃圾
740,打印机硒鼓,可回收垃圾
741,打印间碎纸,可回收垃圾
742,打印墨盒,可回收垃圾
743,打印用纸,可回收垃圾
744,打印照片,干垃圾
745,打印纸,可回收垃圾
746,大白菜,湿垃圾
747,大白兔奶糖,湿垃圾
748,大棒骨,干垃圾
749,大贝壳,干垃圾
750,大便,宠物粪便
751,大饼,湿垃圾
752,大葱,湿垃圾
753,大的骨头,干垃圾
754,大的肉骨头,干垃圾
